이름,나이,성별,점수,시험일,비고,재응시여부,정제된_점수,score_quality,정제된_나이,age_quality,is_name_missing,is_score_mising,is_date_missing,is_age_missing,is_gender_invalid,is_retake_with_missing_info,이상조건_충족수,is_suspicious
,0x1d,남,,19.09.1979,,N,,C,29.0,B,True,True,False,False,True,False,3,Y
서정남,twenty,male,59점,,,N,59.0,A,20.0,B,False,False,True,False,True,False,2,Y
김영자,,male,ninety-five,,.,N,,C,,C,False,True,True,True,True,False,4,Y
,10세,male,none,10-06-1980,retake,Y,,C,10.0,A,True,True,True,False,True,True,5,Y
김재호,,m,90점,1979년 05월 16일,없음,N,90.0,A,,C,False,False,True,True,False,False,2,Y
김은서,14,남,ninety-five,,note: 재응시,Y,,C,14.0,A,False,True,True,False,True,True,4,Y
김지원,,F,none,Aug/30/1982,Retook,Y,,C,,C,False,True,True,True,False,True,4,Y
이민지,,남,57,Oct/25/1987,retake,Y,57.0,A,,C,False,False,True,True,True,True,4,Y
,twenty,f,eighty,1989년 06월 08일,note: 재응시,Y,,C,20.0,B,True,True,True,False,False,True,4,Y
홍예준,twenty,male,eighty,,,N,,C,20.0,B,False,True,True,False,True,False,3,Y
,0x17,f,,18-07-2018,Retook,Y,,C,23.0,B,True,True,True,False,False,True,4,Y
,15,male,0b1010011,1991/10/01,,N,83.0,B,15.0,A,True,False,True,False,True,False,3,Y
강채원,?,m,0b111010,31.05.1990,retake,Y,58.0,B,,C,False,False,False,True,False,False,1,N
한경희,seventeen,F,96,,없음,N,96.0,A,17.0,B,False,False,True,False,False,False,1,N
이도현,,female,,05-04-1978,,N,,C,,C,False,True,True,True,True,False,4,Y
김서준,,male,66점,2023/10/14,,N,66.0,A,,C,False,False,True,True,True,False,3,Y
이영미,20세,여,,09.09.2024,없음,N,,C,20.0,A,False,True,False,False,True,False,2,Y
이진우,18,m,eighty,,retake,Y,,C,18.0,A,False,True,True,False,False,True,3,Y
