이름,나이,성별,점수,시험일,비고,정제된_점수,score_quality,is_score_clean,is_retake_candidate
,0x1d,남,,19.09.1979,,,C,False,False
김영자,,male,ninety-five,,.,,C,False,False
,10세,male,none,10-06-1980,retake,,C,False,True
김은서,14,남,ninety-five,,note: 재응시,,C,False,True
김지원,,F,none,Aug/30/1982,Retook,,C,False,True
이민지,,남,57,Oct/25/1987,retake,57.0,A,True,True
,twenty,f,eighty,1989년 06월 08일,note: 재응시,,C,False,True
홍예준,twenty,male,eighty,,,,C,False,False
,0x17,f,,18-07-2018,Retook,,C,False,True
강채원,?,m,0b111010,31.05.1990,retake,58.0,B,False,True
이도현,,female,,05-04-1978,,,C,False,False
이영미,20세,여,,09.09.2024,없음,,C,False,False
이진우,18,m,eighty,,retake,,C,False,True
윤윤서,18,여,64,13-04-2016,retake,64.0,A,True,True
홍지영,21세,m,52,,Retook,52.0,A,True,True
김성수,0x13,F,eighty,1978-10-13,.,,C,False,False
김진우,-,남,none,1990/09/12,Retook,,C,False,True
이은지,-,male,none,24-04-2005,note: 재응시,,C,False,True
,seventeen,f,,,Retook,,C,False,True
,?,female,ninety-five,2010/04/10,Retook,,C,False,True
,twenty,,52점,2019/01/15,note: 재응시,52.0,A,True,True
강주원,seventeen,female,,11.03.2022,,,C,False,False
김성훈,seventeen,m,0b111110,2007년 02월 16일,note: 재응시,62.0,B,False,True
박현지,-,female,ninety-five,2013/09/06,note: 재응시,,C,False,True
김정희,-,f,,2024-12-09,,,C,False,False
박수민,14세,,,,note: 재응시,,C,False,True
,,남,eighty,,re-take,,C,False,True
,11세,male,ninety-five,Feb/18/1997,,,C,False,False
,,,none,04-05-1978,,,C,False,False
,?,여,96점,,Retook,96.0,A,True,True
박지영,,m,none,,없음,,C,False,False
남중수,0x17,남,,30.12.1990,,,C,False,False
이명숙,twenty,f,,May/20/1986,Retook,,C,False,True
하미경,twenty,female,55점,10.06.1973,re-take,55.0,A,True,True
김정훈,-,male,none,2010-08-30,re-take,,C,False,True
,16,,ninety-five,10-06-1997,,,C,False,False
김영철,,여,none,1973-06-25,,,C,False,False
김숙자,,female,,2022년 01월 07일,없음,,C,False,False
